ticker,name,sector,theme,risk_bucket,fundamental_score,notes,exchange,raw_symbol,asset_type
A,"Agilent Technologies, Inc.",US common stocks,NYSE,normal,,source=nasdaqtrader; raw_symbol=A; asset_type=stock,NYSE,A,stock
AA,Alcoa Corporation,US common stocks,NYSE,normal,,source=nasdaqtrader; raw_symbol=AA; asset_type=stock,NYSE,AA,stock
AADX,"Applied Aerospace & Defense, Inc.",Industrials,NYSE,normal,,source=nasdaqtrader; raw_symbol=AADX; asset_type=stock,NYSE,AADX,stock
AAL,"American Airlines Group, Inc.",US common stocks,NASDAQ,normal,,source=nasdaqtrader; raw_symbol=AAL; asset_type=stock,NASDAQ,AAL,stock
AAMI,Acadian Asset Management Inc.,Financials,NYSE,cyclical,,source=nasdaqtrader; raw_symbol=AAMI; asset_type=stock,NYSE,AAMI,stock
AAOI,"Applied Optoelectronics, Inc.",US common stocks,NASDAQ Global Market,normal,,source=nasdaqtrader; raw_symbol=AAOI; asset_type=stock,NASDAQ Global Market,AAOI,stock
AAON,"AAON, Inc.",US common stocks,NASDAQ,normal,,source=nasdaqtrader; raw_symbol=AAON; asset_type=stock,NASDAQ,AAON,stock
AAP,Advance Auto Parts Inc.,US common stocks,NYSE,normal,,source=nasdaqtrader; raw_symbol=AAP; asset_type=stock,NYSE,AAP,stock
AAPG,Ascentage Pharma Group International - American Depository Shares,US common stocks,NASDAQ Global Market,normal,,source=nasdaqtrader; raw_symbol=AAPG; asset_type=stock,NASDAQ Global Market,AAPG,stock
AAPL,Apple Inc.,US common stocks,NASDAQ,normal,,source=nasdaqtrader; raw_symbol=AAPL; asset_type=stock,NASDAQ,AAPL,stock
AARD,"Aardvark Therapeutics, Inc.",Healthcare and biotech,NASDAQ,high_beta,,source=nasdaqtrader; raw_symbol=AARD; asset_type=stock,NASDAQ,AARD,stock
AAT,"American Assets Trust, Inc.",US common stocks,NYSE,normal,,source=nasdaqtrader; raw_symbol=AAT; asset_type=stock,NYSE,AAT,stock
AAUC,Allied Gold Corporation Common Shares,Materials,NYSE,normal,,source=nasdaqtrader; raw_symbol=AAUC; asset_type=stock,NYSE,AAUC,stock
ABAT,American Battery Technology Company,Software and technology,NASDAQ Capital Market,high_beta,,source=nasdaqtrader; raw_symbol=ABAT; asset_type=stock,NASDAQ Capital Market,ABAT,stock
ABBV,AbbVie Inc.,US common stocks,NYSE,normal,,source=nasdaqtrader; raw_symbol=ABBV; asset_type=stock,NYSE,ABBV,stock
ABCB,Ameris Bancorp,Financials,NYSE,cyclical,,source=nasdaqtrader; raw_symbol=ABCB; asset_type=stock,NYSE,ABCB,stock
